prop_paisagem_removida;remanescente;maxima;media;minima
0.14767;85.233;1;0.999727273;0.97
0.14866;85.134;1;0.999630682;0.965
0.14965;85.035;1;0.999630682;0.965
0.15064;84.936;1;0.999630682;0.965
0.15163;84.837;1;0.999630682;0.965
0.15262;84.738;1;0.999630682;0.965
0.15361;84.639;1;0.999630682;0.965
0.1546;84.54;1;0.999630682;0.965
0.15559;84.441;1;0.999630682;0.965
0.15658;84.342;1;0.999630682;0.965
0.15757;84.243;1;0.999630682;0.965
0.15856;84.144;1;0.999630682;0.965
0.15956;84.044;1;0.999630682;0.965
0.16055;83.945;1;0.999630682;0.965
0.16154;83.846;1;0.999630682;0.965
0.16253;83.747;1;0.999630682;0.965
0.16352;83.648;1;0.999630682;0.965
0.16451;83.549;1;0.999630682;0.965
0.1655;83.45;1;0.999630682;0.965
0.16649;83.351;1;0.999630682;0.965
0.16748;83.252;1;0.999630682;0.965
0.16847;83.153;1;0.999630682;0.965
0.16946;83.054;1;0.999630682;0.965
0.17045;82.955;1;0.999630682;0.965
0.17144;82.856;1;0.999630682;0.965
0.17243;82.757;1;0.999630682;0.965
0.17342;82.658;1;0.999630682;0.965
0.17441;82.559;1;0.999630682;0.965
0.1754;82.46;1;0.999630682;0.965
0.17639;82.361;1;0.999630682;0.965
0.17738;82.262;1;0.999630682;0.965
0.17838;82.162;1;0.999630682;0.965
0.17937;82.063;1;0.999630682;0.965
0.18036;81.964;1;0.999630682;0.965
0.18135;81.865;1;0.999630682;0.965
0.18234;81.766;1;0.999630682;0.965
0.18333;81.667;1;0.999630682;0.965
0.18432;81.568;1;0.999630682;0.965
0.18531;81.469;1;0.999630682;0.965
0.1863;81.37;1;0.999630682;0.965
0.18729;81.271;1;0.999630682;0.965
0.18828;81.172;1;0.999630682;0.965
0.18927;81.073;1;0.999630682;0.965
0.19026;80.974;1;0.999630682;0.965
0.19125;80.875;1;0.999630682;0.965
0.19224;80.776;1;0.999630682;0.965
0.19323;80.677;1;0.999630682;0.965
0.19422;80.578;1;0.999630682;0.965
0.19521;80.479;1;0.999630682;0.965
0.19621;80.379;1;0.999630682;0.965
0.1972;80.28;1;0.999630682;0.965
0.19819;80.181;1;0.999630682;0.965
0.19918;80.082;1;0.999630682;0.965
0.20017;79.983;1;0.999630682;0.965
0.20116;79.884;1;0.999630682;0.965
0.20215;79.785;1;0.999630682;0.965
0.20314;79.686;1;0.999630682;0.965
0.20413;79.587;1;0.999630682;0.965
0.20512;79.488;1;0.999630682;0.965
0.20611;79.389;1;0.999630682;0.965
0.2071;79.29;1;0.999630682;0.965
0.20809;79.191;1;0.999630682;0.965
0.20908;79.092;1;0.999630682;0.965
0.21007;78.993;1;0.999630682;0.965
0.21106;78.894;1;0.999630682;0.965
0.21205;78.795;1;0.999630682;0.965
0.21304;78.696;1;0.999630682;0.965
0.21404;78.596;1;0.999630682;0.965
0.21503;78.497;1;0.999630682;0.965
0.21602;78.398;1;0.999630682;0.965
0.21701;78.299;1;0.999630682;0.965
0.218;78.2;1;0.999630682;0.965
0.21899;78.101;1;0.999630682;0.965
0.21998;78.002;1;0.999630682;0.965
0.22097;77.903;1;0.999630682;0.965
0.22196;77.804;1;0.999630682;0.965
0.22295;77.705;1;0.999630682;0.965
0.22394;77.606;1;0.999630682;0.965
0.22493;77.507;1;0.999630682;0.965
0.22592;77.408;1;0.999630682;0.965
0.22691;77.309;1;0.999630682;0.965
0.2279;77.21;1;0.999630682;0.965
0.22889;77.111;1;0.999630682;0.965
0.22988;77.012;1;0.999630682;0.965
0.23087;76.913;1;0.999630682;0.965
0.23187;76.813;1;0.999630682;0.965
0.23286;76.714;1;0.999630682;0.965
0.23385;76.615;1;0.999630682;0.965
0.23484;76.516;1;0.999630682;0.965
0.23583;76.417;1;0.999630682;0.965
0.23682;76.318;1;0.999630682;0.965
0.23781;76.219;1;0.999630682;0.965
0.2388;76.12;1;0.999630682;0.965
0.23979;76.021;1;0.999630682;0.965
0.24078;75.922;1;0.999630682;0.965
0.24177;75.823;1;0.999630682;0.965
0.24276;75.724;1;0.999630682;0.965
0.24375;75.625;1;0.999630682;0.965
0.24474;75.526;1;0.999630682;0.965
0.24573;75.427;1;0.999630682;0.965
0.24672;75.328;1;0.999630682;0.965
0.24771;75.229;1;0.999630682;0.965
0.2487;75.13;1;0.999630682;0.965
0.2497;75.03;1;0.999630682;0.965
0.25069;74.931;1;0.999630682;0.965
0.25168;74.832;1;0.999630682;0.965
0.25267;74.733;1;0.999630682;0.965
0.25366;74.634;1;0.999630682;0.965
0.25465;74.535;1;0.999630682;0.965
0.25564;74.436;1;0.999630682;0.965
0.25663;74.337;1;0.999630682;0.965
0.25762;74.238;1;0.999630682;0.965
0.25861;74.139;1;0.999630682;0.965
0.2596;74.04;1;0.999630682;0.965
0.26059;73.941;1;0.999630682;0.965
0.26158;73.842;1;0.999630682;0.965
0.26257;73.743;1;0.999630682;0.965
0.26356;73.644;1;0.999630682;0.965
0.26455;73.545;1;0.999630682;0.965
0.26554;73.446;1;0.999630682;0.965
0.26653;73.347;1;0.999630682;0.965
0.26753;73.247;1;0.999630682;0.965
0.26852;73.148;1;0.999630682;0.965
0.26951;73.049;1;0.999630682;0.965
0.2705;72.95;1;0.999630682;0.965
0.27149;72.851;1;0.999630682;0.965
0.27248;72.752;1;0.999630682;0.965
0.27347;72.653;1;0.999630682;0.965
0.27446;72.554;1;0.999630682;0.965
0.27545;72.455;1;0.999630682;0.965
0.27644;72.356;1;0.999630682;0.965
0.27743;72.257;1;0.999630682;0.965
0.27842;72.158;1;0.999630682;0.965
0.27941;72.059;1;0.999528409;0.947
0.2804;71.96;1;0.999528409;0.947
0.28139;71.861;1;0.999528409;0.947
0.28238;71.762;1;0.999528409;0.947
0.28337;71.663;1;0.999528409;0.947
0.28436;71.564;1;0.999528409;0.947
0.28536;71.464;1;0.999528409;0.947
0.28635;71.365;1;0.999528409;0.947
0.28734;71.266;1;0.999528409;0.947
0.28833;71.167;1;0.999431818;0.93
0.28932;71.068;1;0.999431818;0.93
0.29031;70.969;1;0.999431818;0.93
0.2913;70.87;1;0.999431818;0.93
0.29229;70.771;1;0.999431818;0.93
0.29328;70.672;1;0.999431818;0.93
0.29427;70.573;1;0.999431818;0.93
0.29526;70.474;1;0.999431818;0.93
0.29625;70.375;1;0.999431818;0.93
0.29724;70.276;1;0.999431818;0.93
0.29823;70.177;1;0.999431818;0.93
0.29922;70.078;1;0.999431818;0.93
0.30021;69.979;1;0.999431818;0.93
0.3012;69.88;1;0.999431818;0.93
0.30219;69.781;1;0.999431818;0.93
0.30319;69.681;1;0.999431818;0.93
0.30418;69.582;1;0.999431818;0.93
0.30517;69.483;1;0.999431818;0.93
0.30616;69.384;1;0.999431818;0.93
0.30715;69.285;1;0.999431818;0.93
0.30814;69.186;1;0.999431818;0.93
0.30913;69.087;1;0.999431818;0.93
0.31012;68.988;1;0.999431818;0.93
0.31111;68.889;1;0.999431818;0.93
0.3121;68.79;1;0.999431818;0.93
0.31309;68.691;1;0.999431818;0.93
0.31408;68.592;1;0.999431818;0.93
0.31507;68.493;1;0.999431818;0.93
0.31606;68.394;1;0.999431818;0.93
0.31705;68.295;1;0.999431818;0.93
0.31804;68.196;1;0.999431818;0.93
0.31903;68.097;1;0.999431818;0.93
0.32002;67.998;1;0.999431818;0.93
0.32101;67.899;1;0.999431818;0.93
0.32201;67.799;1;0.999431818;0.93
0.323;67.7;1;0.999431818;0.93
0.32399;67.601;1;0.999431818;0.93
0.32498;67.502;1;0.999431818;0.93
0.32597;67.403;1;0.999431818;0.93
0.32696;67.304;1;0.999431818;0.93
0.32795;67.205;1;0.999431818;0.93
0.32894;67.106;1;0.999431818;0.93
0.32993;67.007;1;0.999431818;0.93
0.33092;66.908;1;0.999431818;0.93
0.33191;66.809;1;0.999431818;0.93
0.3329;66.71;1;0.999431818;0.93
0.33389;66.611;1;0.999431818;0.93
0.33488;66.512;1;0.999431818;0.93
0.33587;66.413;1;0.999431818;0.93
