Táxon;Nome comum;Status global;Status nacional ;Área de ocorrência predominante;Habitat ;Status migratório ;Impacto potencial / Risco presumido
Phoenicopteridae;;;;;;;
Phoenicopterus chilensis;Flamingo-chileno;NT;LC;Sul, Interior;Costeiro, Interior;Migrante austral;Colisão / -
Phoenicopterus ruber;Flamingo-americano;LC;LC;Norte;Costeiro;Residente, Migrante boreal;Colisão / -
Podicipedidae;;;;;;;
Podicephorus major;Mergulhão-grande;LC;LC;Sul e Sudeste;Interior, Nerítico;Residente;Colisão, perda de habitat / Moderado
Charadriidae;;;;;;;
Pluvialis dominica;Batuiruçu;LC;DD;Sul;Costeiro;Migrante boreal;Colisão / -
Pluvialis squatarola;Batuiruçu-de-axila-preta;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Oreopholus ruficollis;Batuíra-de-papo-ferrugíneo;LC;LC;Sul;Costeiro;Migrante austral;Colisão / -
Charadrius modestus;Batuíra-de-peito-tijolo;LC;LC;Sul;Costeiro;Migrante austral;Colisão / -
Charadrius semipalmatus;Batuíra-de-bando;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Charadrius wilsonia;Batuíra-bicuda;LC;VU;Norte e Nordeste;Costeiro;Residente;Colisão / -
Charadrius collaris;Batuíra-de-coleira;LC;LC;Toda a costa;Costeiro;Residente;Colisão / -
Charadrius falklandicus;Batuíra-de-coleira-dupla;LC;LC;Sul;Costeiro;Migrante austral, Residente no RS;Colisão / -
Haematopodidae;;;;;;;
Haematopus palliatus;Piru-piru;LC;NT;Toda a costa;Costeiro;Residente, Migrante parcial no extremo Norte;Colisão / -
Recurvirostridae;;;;;;;
Himantopus mexicanus;Pernilongo-de-costas-negras;LC;LC;Norte e Nordeste;Costeiro;Residente, Migrante parcial no extremo Norte;Colisão / -
Himantopus melanurus;Pernilongo-de-costas-brancas;LC;LC;Toda a costa;Costeiro;Residente;Colisão / -
Scolopacidae;;;;;;;
Bartramia longicauda;Maçarico-do-campo;LC;LC;Interior;Interior;Migrante boreal;Colisão / Baixo
Numenius hudsonicus;Maçarico-de-bico-torto;LC;NT;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Limosa haemastica;Maçarico-de-bico-virado;LC;LC;Sul e Sudeste;Costeiro;Migrante boreal;Colisão / -
Arenaria interpres;Vira-pedras;LC;NT;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Calidris canutus;Maçarico-de-papo-vermelho;NT;CR;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Calidris himantopus;Maçarico-pernilongo;LC;LC;Toda a costa, Interior;Costeiro, Interior;Migrante boreal, Vagante;Colisão / Baixo
Calidris alba;Maçarico-branco;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Calidris bairdii;Maçarico-de-bico-fino;LC;NA;Norte e Sul;Costeiro, Interior;Migrante boreal;Colisão / -
Calidris minutilla;Maçariquinho;LC;DD;Toda a costa, mais comum no Norte e Nordeste;Costeiro;Migrante boreal;Colisão / -
Calidris fuscicollis;Maçarico-de-sobre-branco;LC;LC;Toda a costa, Interior;Costeiro, Interior;Migrante boreal;Colisão / -
Calidris subruficollis;Maçarico-acanelado;NT;VU;Sul;Costeiro, Interior;Migrante boreal;Colisão / -
Calidris melanotos;Maçarico-de-colete;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Calidris pusilla;Maçarico-rasteirinho;NT;EN;Toda a costa, mais comum no Norte e Nordeste;Costeiro;Migrante boreal;Colisão / -
Limnodromus griseus;Maçarico-de-costas-brancas;LC;CR;Norte e Nordeste;Costeiro;Migrante boreal;Colisão / -
Phalaropus tricolor;pisa-n'água;LC;DD;Sul e Sudeste;Costeiro, Interior;Migrante boreal;Colisão / Baixo
Actitis macularius;Maçarico-pintado;LC;LC;Toda a costa, mais comum no Sudeste, Norte e Nordeste;Costeiro;Migrante boreal;Colisão / -
