Táxon;Nome comum;Ameaça global (IUCN, 2020);Ameaça nacional (MMA, 2014);Área de ocorrência predominante;Habitat (Costeiro / Nerítico / Oceânico);Status migratório;Impacto e risco potencial dos CEOs
Spheniscus magellanicus;Pinguim-de-magalhães;LC;NT;Sul e Sudeste;Nerítico;Migrante austral;Alteração de habitat de alimentação no Sul, risco elevado
Diomedea epomophora;Albatroz-real;VU;VU;Sul;Oceânico;Migrante austral;Colisão / perda de habitat, risco moderado
Diomedea sanfordi;Albatroz-real-do-norte;EN;EN;Sul;Oceânico;Migrante austral;Colisão / perda de habitat, risco moderado
Diomedea exulans;Albatroz-errante;VU;CR;Sul e Sudeste;Oceânico;Migrante austral;Colisão / perda de habitat, risco moderado
Diomedea dabbenena;Albatroz-de-tristão;CR;CR;Sul;Oceânico;Migrante austral;Colisão / perda de habitat, risco moderado
Phoebetria fusca;Piau-preto;EN;NA;Sul;Oceânico;Migrante austral;Colisão / perda de habitat, risco baixo, raro
Thalassarche chlororhynchos;Albatroz-de-nariz-amarelo-do-atlântico;EN;EN;Sul e Sudeste;Oceânico / Nerítico;Migrante austral;Colisão / perda de habitat, risco elevado
Thalassarche melanophris;Albatroz-de-sobrancelha-negra;LC;NT;Sul e Sudeste;Oceânico / Nerítico;Migrante austral;Colisão / perda de habitat, risco elevado
Fregetta grallaria;Painho-de-barriga-branca;LC;LC;Sudeste;Oceânico;Migrante austral;Colisão / perda de habitat, risco baixo, voo baixa altitude
Fregetta tropica;Painho-de-barriga-preta;LC;LC;Sul e Sudeste;Oceânico;Migrante austral;Colisão / perda de habitat, risco baixo, voo baixa altitude
Oceanites oceanicus;Alma-de-mestre;LC;LC;Toda a costa;Oceânico;Migrante austral;Colisão / perda de habitat, risco baixo, voo baixa altitude
Hydrobates leucorhous;Painho-de-cauda-furcada;VU;LC;Norte e Nordeste;Oceânico;Migrante boreal;Colisão / perda de habitat, risco baixo, voo baixa altitude
Macronectes giganteus;Petrel-grande;LC;LC;Sul e Sudeste;Oceânico / Nerítico;Migrante austral;Colisão / perda de habitat, risco elevado
Macronectes halli;Petrel-grande-do-norte;LC;LC;Sul e Sudeste;Oceânico;Migrante austral;Colisão / perda de habitat, risco moderado, alto mar, raro
Fulmarus glacialoides;Pardelão-Prateado;LC;LC;Sul e Sudeste;Oceânico;Migrante austral;Colisão / perda de habitat, risco baixo
Daption capense;Pomba-do-cabo;LC;LC;Sul e Sudeste;Oceânico;Migrante austral;Colisão / perda de habitat, risco baixo
Pterodroma madeira;Grazina-da-madeira;EN;EN;Nordeste;Oceânico;Migrante boreal;Colisão / perda de habitat, alto mar, risco moderado
Pterodroma deserta;Grazina-de-desertas;VU;CR;Nordeste ao Sul;Oceânico;Migrante boreal;Colisão / perda de habitat, alto mar, risco moderado
Pterodroma mollis;Grazina-delicada;LC;LC;Sul e Sudeste;Oceânico;Migrante austral;Colisão / perda de habitat, alto mar, risco moderado
Pterodroma incerta;Grazina-de-barriga-branca;EN;EN;Sul e Sudeste;Oceânico;Migrante austral;Colisão / perda de habitat, alto mar, risco moderado
Pterodroma arminjoniana;Grazina-de-trindade;VU;CR;Sudeste (Ilha da Trindade) e Nordeste durante a migração;Oceânico;Migrante para o hemisfério Norte / Residente no Brasil;Colisão / perda de habitat, alto mar, risco alto no Nordeste
Pachyptila desolata;Faigão-rola;LC;LC;Sul e Sudeste;Oceânico;Migrante austral;Colisão / perda de habitat, alto mar, risco moderado
Pachyptila belcheri;Faigão-de-bico-fino;LC;LC;Sul e Sudeste;Oceânico;Migrante austral;Colisão / perda de habitat, risco baixo, voo baixa altitude
Bulweria bulwerii;Alma-negra;LC;NA;Sudeste e Nordeste;Oceânico;Migrante boreal;Colisão / perda de habitat, risco baixo, voo baixa altitude
Procellaria aequinoctialis;Pardela-preta;VU;VU;Sul a Nordeste;Oceânico / Nerítico;Migrante austral;Colisão / perda de habitat, risco elevado
Procellaria conspicillata;Pardela-de-óculos;VU;VU;Sul a Nordeste;Oceânico;Migrante austral;Colisão / perda de habitat, alto mar, risco moderado
Calonectris borealis;Cagarra-grande;LC;LC;Toda a costa;Oceânico;Migrante boreal;Colisão / perda de habitat, risco elevado
Calonectris edwardsii;Cagarra-de-cabo-verde;NT;NT;Sul a Nordeste;Oceânico;Migrante boreal;Colisão / perda de habitat, risco elevado
Ardenna grisea;Pardela-escura;NT;LC;Toda a costa;Oceânico / Nerítico;Migrante austral;Colisão / perda de habitat, risco elevado
Ardenna gravis;Pardela-de-barrete;LC;LC;Toda a costa;Oceânico / Nerítico;Migrante austral;Colisão / perda de habitat, risco elevado
Puffinus puffinus;Pardela-sombria;LC;LC;Toda a costa;Oceânico;Migrante boreal;Colisão / perda de habitat, risco alto
Puffinus boydi;Pardela-de-cabo-verde;LC;LC;Nordeste e Norte;Oceânico;Migrante boreal;Vagante
Puffinus lherminieri;Pardela-de-asa-larga;LC;CR;Sudeste e Nordeste;Oceânico;Migrante boreal / Residente;Colisão / perda de habitat, raro, risco baixo
Fregata trinitatis;Fragata-pequena;NA;CR;Sudeste - Trindade e Martin Vaz;Oceânico;Residente;Endêmico da ilha da Trindade, risco baixo
Fregata magnificens;Fragata;LC;LC;Toda a costa;Oceânico;Residente;Colisão / perda de habitat, risco elevado
Fregata minor;Fragata-grande;LC;CR;Sudeste - Trindade e Martin Vaz;Oceânico;Residente;Endêmico da ilha da Trindade, risco baixo
Sula dactylatra;Atobá-grande;LC;LC;Toda a costa;Oceânico;Residente;Colisão / perda de habitat, risco elevado
Sula sula;Atobá-de-pé-vermelho;LC;EN;Sudeste e Nordeste;Oceânico;Residente;Colisão / perda de habitat, restrito a ilhas, risco baixo
Sula leucogaster;Atobá-pardo;LC;LC;Sul a Nordeste;Oceânico;Residente;Colisão / perda de habitat, risco elevado
Nannopterum brasilianum;Biguá;LC;LC;Toda a costa e Interior;Costeiro / Interior;Residente / Deslocamentos para o interior;Colisão / perda de habitat, atração, risco moderado
